aX,aY,aZ
-1360,1262,-986
-1360,1262,-986
-1360,1262,-986
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-1530,1567,-857
-2041,2047,-230
-2041,2047,-230
-2041,2047,-230
-2041,2047,-230
-2041,2047,-230
-2048,2044,-332
-2048,2044,-332
-2048,2044,-332
-2048,2044,-332
-2048,2044,-332
-2048,2044,-332
-1921,1990,-494
-1921,1990,-494
-1921,1990,-494
-1921,1990,-494
-1921,1990,-494
-1921,1990,-494
-1597,1498,-665
-1597,1498,-665
-1597,1498,-665
-1597,1498,-665
-1597,1498,-665
-1597,1498,-665
-1203,779,-549
-1203,779,-549
-1203,779,-549
-1203,779,-549
-1203,779,-549
-1203,779,-549
-715,46,106
-715,46,106
-715,46,106
-715,46,106
-715,46,106
-715,46,106
-94,-527,700
-94,-527,700
-94,-527,700
-94,-527,700
-94,-527,700
-94,-527,700
1032,-673,-89
1032,-673,-89
1032,-673,-89
1032,-673,-89
1032,-673,-89
1032,-673,-89
1940,-522,-601
1940,-522,-601
1940,-522,-601
1940,-522,-601
1940,-522,-601
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2047,24,-1142
2044,-339,-2048
2044,-339,-2048
2044,-339,-2048
2044,-339,-2048
2044,-339,-2048
2044,-339,-2048
2047,-1624,-1658
2047,-1624,-1658
2047,-1624,-1658
2047,-1624,-1658
2047,-1624,-1658
2047,-1624,-1658
2047,-1624,-1658
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
2047,-2048,-1004
-1836,-1322,-162
-1836,-1322,-162
-1836,-1322,-162
-1836,-1322,-162
-1836,-1322,-162

-1287,508,-670
-1287,508,-670
-1287,508,-670
-1287,508,-670
-1372,598,-741
-1372,598,-741
-1372,598,-741
-1372,598,-741
-1372,598,-741
-1372,598,-741
-1468,685,-769
-1468,685,-769
-1468,685,-769
-1468,685,-769
-1468,685,-769
-1468,685,-769
-1554,772,-783
-1554,772,-783
-1554,772,-783
-1554,772,-783
-1554,772,-783
-1554,772,-783
-1624,943,-708
-1624,943,-708
-1624,943,-708
-1624,943,-708
-1624,943,-708
-1624,943,-708
-1605,1080,-579
