aX,aY,aZ
1109,-806,-1
1109,-806,-1
1109,-806,-1
1109,-806,-1
1109,-806,-1
1109,-806,-1
1109,-806,-1
1109,-806,-1
1109,-806,-1
1109,-806,-1
1075,-793,-37
1075,-793,-37
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1082,-773,-53
1026,-746,-87
1026,-746,-87
1026,-746,-87
1026,-746,-87
1026,-746,-87
1026,-746,-87
1026,-746,-87
956,-692,-53
956,-692,-53
956,-692,-53
956,-692,-53
956,-692,-53
956,-692,-53
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
962,-637,9
903,-610,109
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
748,-565,259
596,-450,266
596,-450,266
596,-450,266
596,-450,266
596,-450,266
596,-450,266
596,-450,266
596,-450,266
445,-254,206
445,-254,206
1525,-514,170
1525,-514,170
1525,-514,170
1525,-514,170
1525,-514,170
1592,-635,125
1592,-635,125
1592,-635,125
1592,-635,125
1592,-635,125
1592,-635,125
1592,-635,125
1592,-635,125
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1710,-754,118
1737,-947,74
1737,-947,74
1689,-1184,-63
1689,-1184,-63
1689,-1184,-63
1689,-1184,-63
1689,-1184,-63
1689,-1184,-63
1689,-1184,-63
1689,-1184,-63
1689,-1184,-63
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1545,-1381,-160
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1771,-1377,-282
1690,-1432,-249
1690,-1432,-249
1690,-1432,-249
1690,-1432,-249
1690,-1432,-249
1690,-1432,-249
1690,-1432,-249
1690,-1432,-249
1690,-1432,-249
