aX,aY,aZ
-569,-374,-587
-569,-374,-587
-569,-374,-587
-569,-374,-587
-569,-374,-587
-569,-374,-587
-569,-374,-587
-569,-374,-587
-391,-206,-473
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
44,-53,-98
561,31,205
561,31,205
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1015,56,369
1386,0,306
1386,0,306
1386,0,306
1386,0,306
1386,0,306
1386,0,306
1386,0,306
1386,0,306
1386,0,306
1386,0,306
1766,-99,231
1766,-99,231
1766,-99,231
1766,-99,231
1766,-99,231
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2045,-130,259
2047,-42,200
2047,-42,200
2047,-42,200
2047,-42,200
2047,-42,200
2043,112,-37
2043,112,-37
2043,112,-37
2043,112,-37
2043,112,-37
2043,112,-37
2043,112,-37
2043,112,-37
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
2047,115,-61
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1618,-105,-211
1336,-9,-210
1336,-9,-210
1336,-9,-210
1336,-9,-210
1336,-9,-210
1336,-9,-210
1336,-9,-210
1336,-9,-210
1336,-9,-210
1336,-9,-210
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-519,-356,-683
-504,-291,-548
-504,-291,-548
-324,-208,-406
-324,-208,-406
-324,-208,-406
-324,-208,-406
-324,-208,-406
-324,-208,-406
-324,-208,-406
-324,-208,-406
-324,-208,-406
-324,-208,-406
-6,-153,-221
-6,-153,-221
-6,-153,-221
-6,-153,-221
-6,-153,-221
-6,-153,-221
-6,-153,-221
-6,-153,-221
-6,-153,-221
-6,-153,-221
362,-139,-83
362,-139,-83
362,-139,-83
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
725,-111,-7
1112,-112,148
1112,-112,148
1112,-112,148
1478,-132,285
1478,-132,285
